Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
Junqueiro (AL),4742,0.575,3853,0.586,4774,0.454,5359,0.714,,,,,,,,,,,,
Capixaba (AC),4742,0.575,3607,0.601,5342,0.398,3362,0.794,,,,,,,,,,,,
Aratuípe (BA),4742,0.575,4201,0.57,4920,0.443,4661,0.753,,,,,,,,,,,,
Barreirinha (AM),4764,0.574,5534,0.469,3549,0.522,3987,0.774,,,,,,,,,,,,
Baraúna (RN),4764,0.574,4403,0.562,4887,0.446,4579,0.756,,,,,,,,,,,,
Santa Inês (BA),4764,0.574,4180,0.571,4532,0.47,5444,0.704,,,,,,,,,,,,
Santana do Piauí (PI),4764,0.574,4927,0.539,4409,0.476,5049,0.736,,,,,,,,,,,,
Catingueira (PB),4764,0.574,4609,0.553,4758,0.455,4661,0.753,,,,,,,,,,,,
Pau D'Arco (PA),4764,0.574,4180,0.571,4920,0.443,4794,0.748,,,,,,,,,,,,
Brejinho (PE),4764,0.574,4376,0.563,4095,0.493,5549,0.681,,,,,,,,,,,,
Carutapera (MA),4764,0.574,5037,0.533,4409,0.476,4826,0.747,,,,,,,,,,,,
Riachão (PB),4764,0.574,5297,0.515,4306,0.481,4366,0.763,,,,,,,,,,,,
Caiçara do Norte (RN),4764,0.574,4161,0.572,4774,0.454,5193,0.727,,,,,,,,,,,,
Igrapiúna (BA),4764,0.574,4322,0.565,5145,0.424,3540,0.789,,,,,,,,,,,,
Benjamin Constant (AM),4764,0.574,5154,0.526,4502,0.471,4366,0.763,,,,,,,,,,,,
Mogeiro (PB),4764,0.574,4945,0.538,4306,0.481,5105,0.732,,,,,,,,,,,,
Januário Cicco (RN),4764,0.574,5347,0.511,4306,0.481,4100,0.771,,,,,,,,,,,,
Buriti dos Montes (PI),4764,0.574,5140,0.527,4693,0.46,3751,0.78,,,,,,,,,,,,
São Félix do Tocantins (TO),4764,0.574,4670,0.55,4887,0.446,4100,0.771,,,,,,,,,,,,
Maragogi (AL),4764,0.574,4551,0.556,4920,0.443,4272,0.766,,,,,,,,,,,,
Pedra Lavrada (PB),4764,0.574,4351,0.564,4724,0.458,5094,0.733,,,,,,,,,,,,
Santo Antônio do Jacinto (MG),4764,0.574,4089,0.575,5111,0.427,4064,0.772,,,,,,,,,,,,
Pindoba (AL),4764,0.574,3998,0.579,4599,0.465,5456,0.703,,,,,,,,,,,,
Iaçu (BA),4764,0.574,3817,0.588,4672,0.461,5499,0.697,,,,,,,,,,,,
Bonito de Santa Fé (PB),4764,0.574,4351,0.564,5111,0.427,3629,0.786,,,,,,,,,,,,
Sossêgo (PB),4786,0.573,5075,0.531,4693,0.46,4168,0.769,,,,,,,,,,,,
São Sebastião do Tocantins (TO),4786,0.573,5284,0.516,4216,0.487,4794,0.748,,,,,,,,,,,,
Manoel Emídio (PI),4786,0.573,5021,0.534,4588,0.466,4509,0.758,,,,,,,,,,,,
Pedra Bonita (MG),4786,0.573,4529,0.557,4733,0.457,4978,0.74,,,,,,,,,,,,
Cerro Azul (PR),4786,0.573,3562,0.604,5384,0.391,3252,0.797,,,,,,,,,,,,
Alcântara (MA),4786,0.573,5172,0.525,4430,0.475,4661,0.753,,,,,,,,,,,,
Tacaratu (PE),4786,0.573,5226,0.521,3847,0.507,5388,0.711,,,,,,,,,,,,
Nova Olinda (PB),4786,0.573,4529,0.557,4793,0.453,4893,0.744,,,,,,,,,,,,
Capela (AL),4786,0.573,4583,0.554,4742,0.456,4916,0.743,,,,,,,,,,,,
Ipueiras (CE),4786,0.573,5021,0.534,4351,0.479,5063,0.735,,,,,,,,,,,,
Sobrado (PB),4786,0.573,5172,0.525,4390,0.477,4661,0.753,,,,,,,,,,,,
Caldeirão Grande (BA),4786,0.573,5154,0.526,4463,0.473,4509,0.758,,,,,,,,,,,,
São José da Laje (AL),4786,0.573,4116,0.574,5031,0.434,4602,0.755,,,,,,,,,,,,
Carnaubeira da Penha (PE),4786,0.573,5473,0.491,3832,0.508,4602,0.755,,,,,,,,,,,,
Cristalândia do Piauí (PI),4786,0.573,5226,0.521,4544,0.469,4131,0.77,,,,,,,,,,,,
São José do Peixe (PI),4786,0.573,4720,0.548,4852,0.449,4272,0.766,,,,,,,,,,,,
Tuntum (MA),4802,0.572,5021,0.534,4272,0.483,5207,0.726,,,,,,,,,,,,
Itapebi (BA),4802,0.572,4243,0.568,4724,0.458,5321,0.718,,,,,,,,,,,,
Cumaru (PE),4802,0.572,4609,0.553,4532,0.47,5291,0.72,,,,,,,,,,,,
Planaltino (BA),4802,0.572,4137,0.573,4646,0.462,5415,0.708,,,,,,,,,,,,
São Bernardo (MA),4802,0.572,5310,0.514,4351,0.479,4400,0.762,,,,,,,,,,,,
Mairi (BA),4802,0.572,4089,0.575,4973,0.438,4893,0.744,,,,,,,,,,,,
Inhangapi (PA),4802,0.572,4670,0.55,4742,0.456,4794,0.748,,,,,,,,,,,,
Rio Real (BA),4802,0.572,4243,0.568,4808,0.452,5160,0.729,,,,,,,,,,,,
Olho D'Água (PB),4802,0.572,5037,0.533,4808,0.452,3897,0.776,,,,,,,,,,,,
Touros (RN),4802,0.572,4403,0.562,4588,0.466,5339,0.716,,,,,,,,,,,,
Itaeté (BA),4802,0.572,4987,0.536,4241,0.485,5306,0.719,,,,,,,,,,,,
Barra de São Miguel (PB),4802,0.572,3894,0.584,4956,0.44,5175,0.728,,,,,,,,,,,,
Angelim (PE),4802,0.572,4565,0.555,4862,0.448,4732,0.751,,,,,,,,,,,,
Maturéia (PB),4802,0.572,4903,0.54,4447,0.474,5145,0.73,,,,,,,,,,,,
Matina (BA),4802,0.572,4945,0.538,4544,0.469,4978,0.74,,,,,,,,,,,,
Riachinho (TO),4802,0.572,5401,0.503,4163,0.49,4452,0.76,,,,,,,,,,,,
São Brás (AL),4802,0.572,5037,0.533,4332,0.48,5105,0.732,,,,,,,,,,,,
Ouricuri (PE),4802,0.572,4023,0.578,5197,0.419,4028,0.773,,,,,,,,,,,,
Governador Eugênio Barros (MA),4802,0.572,4670,0.55,4646,0.462,5049,0.736,,,,,,,,,,,,
Sítio Novo (RN),4802,0.572,5127,0.528,4143,0.491,5268,0.722,,,,,,,,,,,,
Alvorada de Minas (MG),4802,0.572,4201,0.57,5238,0.414,3362,0.794,,,,,,,,,,,,
Piaçabuçu (AL),4802,0.572,4945,0.538,4351,0.479,5193,0.727,,,,,,,,,,,,
Água Branca (PB),4802,0.572,4855,0.542,4259,0.484,5377,0.712,,,,,,,,,,,,
Santa Inês (PB),4802,0.572,4903,0.54,4116,0.492,5431,0.706,,,,,,,,,,,,
Rio Grande do Piauí (PI),4802,0.572,4628,0.552,4936,0.442,4245,0.767,,,,,,,,,,,,
Santa Helena (MA),4827,0.571,5075,0.531,4502,0.471,4860,0.746,,,,,,,,,,,,
Calumbi (PE),4827,0.571,4268,0.567,4693,0.46,5347,0.715,,,,,,,,,,,,
Iramaia (BA),4827,0.571,4828,0.543,4631,0.463,4978,0.74,,,,,,,,,,,,
Pedro Ii (PI),4827,0.571,4288,0.566,5104,0.428,4245,0.767,,,,,,,,,,,,
Palmeirante (TO),4827,0.571,4351,0.564,4999,0.436,4579,0.756,,,,,,,,,,,,
Vieirópolis (PB),4827,0.571,4963,0.537,4758,0.455,4400,0.762,,,,,,,,,,,,
Novo Cruzeiro (MG),4827,0.571,4403,0.562,5229,0.415,3252,0.797,,,,,,,,,,,,
Itapitanga (BA),4827,0.571,4987,0.536,4774,0.454,4329,0.764,,,,,,,,,,,,
Jussara (BA),4827,0.571,4804,0.544,4409,0.476,5291,0.72,,,,,,,,,,,,
Barroquinha (CE),4827,0.571,5337,0.512,3883,0.505,5291,0.72,,,,,,,,,,,,
Piatã (BA),4827,0.571,4828,0.543,4874,0.447,4168,0.769,,,,,,,,,,,,
Várzea Grande (PI),4827,0.571,4583,0.554,4447,0.474,5415,0.708,,,,,,,,,,,,
Viçosa do Ceará (CE),4827,0.571,5226,0.521,4430,0.475,4661,0.753,,,,,,,,,,,,
Caturama (BA),4827,0.571,4828,0.543,4887,0.446,4131,0.77,,,,,,,,,,,,
Japaratinga (AL),4841,0.57,4451,0.56,4821,0.451,5063,0.735,,,,,,,,,,,,
Barreirinhas (MA),4841,0.57,5297,0.515,4351,0.479,4697,0.752,,,,,,,,,,,,
São Francisco do Piauí (PI),4841,0.57,4529,0.557,4862,0.448,4893,0.744,,,,,,,,,,,,
Mata Roma (MA),4841,0.57,5499,0.483,4081,0.494,3897,0.776,,,,,,,,,,,,
Senador Georgino Avelino (RN),4841,0.57,4828,0.543,4758,0.455,4794,0.748,,,,,,,,,,,,
Ituaçu (BA),4841,0.57,4322,0.565,5131,0.425,4131,0.77,,,,,,,,,,,,
Nova Ibiá (BA),4841,0.57,3322,0.62,5197,0.419,5359,0.714,,,,,,,,,,,,
Pitimbu (PB),4841,0.57,4945,0.538,4742,0.456,4661,0.753,,,,,,,,,,,,
Lagoa de Dentro (PB),4841,0.57,4927,0.539,4909,0.444,4064,0.772,,,,,,,,,,,,
São João (PE),4841,0.57,4322,0.565,5123,0.426,4204,0.768,,,,,,,,,,,,
Graça (CE),4841,0.57,5310,0.514,4390,0.477,4602,0.755,,,,,,,,,,,,
Novo Airão (AM),4841,0.57,4649,0.551,5031,0.434,3897,0.776,,,,,,,,,,,,
Graça Aranha (MA),4841,0.57,4945,0.538,4711,0.459,4794,0.748,,,,,,,,,,,,
Casa Nova (BA),4841,0.57,4054,0.577,5011,0.435,5049,0.736,,,,,,,,,,,,
Araças (BA),4841,0.57,4903,0.54,4646,0.462,4893,0.744,,,,,,,,,,,,
Brotas de Macaúbas (BA),4841,0.57,4628,0.552,4902,0.445,4625,0.754,,,,,,,,,,,,
Esperantina (TO),4841,0.57,5457,0.495,3502,0.524,5347,0.715,,,,,,,,,,,,
Riacho das Almas (PE),4841,0.57,3853,0.586,5206,0.418,4552,0.757,,,,,,,,,,,,
Parambu (CE),4841,0.57,5154,0.526,4693,0.46,4329,0.764,,,,,,,,,,,,
Cuitegi (PB),4841,0.57,4376,0.563,4839,0.45,5105,0.732,,,,,,,,,,,,
Campo Alegre (AL),4841,0.57,5075,0.531,4532,0.47,4936,0.742,,,,,,,,,,,,
Serra Redonda (PB),4841,0.57,4322,0.565,5145,0.424,4064,0.772,,,,,,,,,,,,
Vitorino Freire (MA),4841,0.57,4376,0.563,4390,0.477,5527,0.688,,,,,,,,,,,,
Juazeiro do Piauí (PI),4841,0.57,5215,0.522,4532,0.47,4661,0.753,,,,,,,,,,,,
Lizarda (TO),4841,0.57,3894,0.584,5229,0.415,4304,0.765,,,,,,,,,,,,
Santo Antônio do Retiro (MG),4841,0.57,5393,0.504,4544,0.469,3670,0.784,,,,,,,,,,,,
Maracanã (PA),4841,0.57,5021,0.534,4774,0.454,4329,0.764,,,,,,,,,,,,
Juru (PB),4841,0.57,4628,0.552,4920,0.443,4509,0.758,,,,,,,,,,,,
Aiuaba (CE),4869,0.569,5259,0.518,4447,0.474,4770,0.749,,,,,,,,,,,,
Sapé (PB),4869,0.569,4376,0.563,4672,0.461,5388,0.711,,,,,,,,,,,,
Canhoba (SE),4869,0.569,4609,0.553,4646,0.462,5268,0.722,,,,,,,,,,,,
Japi (RN),4869,0.569,5127,0.528,4332,0.48,5207,0.726,,,,,,,,,,,,
Igarapé do Meio (MA),4869,0.569,5096,0.53,3868,0.506,5530,0.687,,,,,,,,,,,,
Governador Nunes Freire (MA),4869,0.569,4903,0.54,4487,0.472,5268,0.722,,,,,,,,,,,,
São João da Ponte (MG),4869,0.569,4476,0.559,5197,0.419,3629,0.786,,,,,,,,,,,,
Centenário (TO),4869,0.569,4180,0.571,4672,0.461,5476,0.7,,,,,,,,,,,,
Taipu (RN),4869,0.569,4804,0.544,5011,0.435,3831,0.778,,,,,,,,,,,,
Panelas (PE),4869,0.569,4757,0.546,5053,0.433,3831,0.778,,,,,,,,,,,,
Rio do Fogo (RN),4869,0.569,4757,0.546,4733,0.457,5008,0.738,,,,,,,,,,,,
Maravilha (AL),4869,0.569,4927,0.539,4693,0.46,4936,0.742,,,,,,,,,,,,
Jandaíra (RN),4869,0.569,4425,0.561,4646,0.462,5405,0.709,,,,,,,,,,,,
Caapiranga (AM),4869,0.569,4804,0.544,4999,0.436,3948,0.775,,,,,,,,,,,,
Guajeru (BA),4869,0.569,4720,0.548,4988,0.437,4131,0.77,,,,,,,,,,,,
Careiro da Várzea (AM),4884,0.568,5206,0.523,4839,0.45,3775,0.779,,,,,,,,,,,,
Apicum-Açu (MA),4884,0.568,5110,0.529,4272,0.483,5321,0.718,,,,,,,,,,,,
Cortês (PE),4884,0.568,4876,0.541,4373,0.478,5423,0.707,,,,,,,,,,,,
Porto da Folha (SE),4884,0.568,4963,0.537,4646,0.462,4989,0.739,,,,,,,,,,,,
Messias (AL),4884,0.568,4529,0.557,4693,0.46,5359,0.714,,,,,,,,,,,,
Caldas Brandão (PB),4884,0.568,4403,0.562,4821,0.451,5254,0.723,,,,,,,,,,,,
General Sampaio (CE),4884,0.568,4720,0.548,4852,0.449,4893,0.744,,,,,,,,,,,,
Salgado de São Félix (PB),4884,0.568,5075,0.531,4862,0.448,4131,0.77,,,,,,,,,,,,
Sucupira do Riachão (MA),4884,0.568,4945,0.538,4874,0.447,4430,0.761,,,,,,,,,,,,
Riacho dos Cavalos (PB),4884,0.568,4757,0.546,4874,0.447,4697,0.752,,,,,,,,,,,,
Gonçalves Dias (MA),4884,0.568,4855,0.542,4902,0.445,4509,0.758,,,,,,,,,,,,
Anadia (AL),4884,0.568,4757,0.546,4909,0.444,4579,0.756,,,,,,,,,,,,
Pedro Velho (RN),4884,0.568,4403,0.562,4936,0.442,5008,0.738,,,,,,,,,,,,
Ourém (PA),4884,0.568,4089,0.575,4973,0.438,5193,0.727,,,,,,,,,,,,
Aurelino Leal (BA),4884,0.568,4565,0.555,5031,0.434,4484,0.759,,,,,,,,,,,,
Congonhas do Norte (MG),4884,0.568,4288,0.566,5053,0.433,4860,0.746,,,,,,,,,,,,
Bananeiras (PB),4884,0.568,4565,0.555,5083,0.43,4272,0.766,,,,,,,,,,,,
Igreja Nova (AL),4884,0.568,4551,0.556,5104,0.428,4100,0.771,,,,,,,,,,,,
Breu Branco (PA),4884,0.568,4565,0.555,5173,0.422,3726,0.781,,,,,,,,,,,,
Pureza (RN),4903,0.567,5284,0.516,4742,0.456,3987,0.774,,,,,,,,,,,,
Boa Nova (BA),4903,0.567,5008,0.535,4793,0.453,4661,0.753,,,,,,,,,,,,
São Miguel do Aleixo (SE),4903,0.567,4180,0.571,5145,0.424,4661,0.753,,,,,,,,,,,,
Casinhas (PE),4903,0.567,5259,0.518,4183,0.489,5284,0.721,,,,,,,,,,,,
Canindé de São Francisco (SE),4903,0.567,4288,0.566,5011,0.435,4958,0.741,,,,,,,,,,,,
Massaranduba (PB),4903,0.567,4628,0.552,4948,0.441,4826,0.747,,,,,,,,,,,,
Jussari (BA),4903,0.567,4054,0.577,4821,0.451,5487,0.699,,,,,,,,,,,,
Rodrigues Alves (AC),4903,0.567,5259,0.518,4390,0.477,5049,0.736,,,,,,,,,,,,
Camalaú (PB),4903,0.567,4698,0.549,5071,0.431,4131,0.77,,,,,,,,,,,,
Euclides da Cunha (BA),4903,0.567,4322,0.565,5083,0.43,4770,0.749,,,,,,,,,,,,
Pedra (PE),4903,0.567,4670,0.55,4902,0.445,4916,0.743,,,,,,,,,,,,
Santa Helena de Minas (MG),4903,0.567,5075,0.531,4447,0.474,5254,0.723,,,,,,,,,,,,
Magalhães de Almeida (MA),4903,0.567,5415,0.502,3988,0.499,5160,0.729,,,,,,,,,,,,
Santa Rosa do Piauí (PI),4903,0.567,4927,0.539,4272,0.483,5487,0.699,,,,,,,,,,,,
Barra de Santana (PB),4903,0.567,5154,0.526,4599,0.465,4826,0.747,,,,,,,,,,,,
Araruna (PB),4903,0.567,4698,0.549,4964,0.439,4509,0.758,,,,,,,,,,,,
Nova Redenção (BA),4903,0.567,5021,0.534,4502,0.471,5254,0.723,,,,,,,,,,,,
Juazeirinho (PB),4903,0.567,4529,0.557,5011,0.435,4661,0.753,,,,,,,,,,,,
Cristino Castro (PI),4921,0.566,3853,0.586,5031,0.434,5367,0.713,,,,,,,,,,,,
Manoel Vitorino (BA),4921,0.566,4945,0.538,4742,0.456,4958,0.741,,,,,,,,,,,,
Uruoca (CE),4921,0.566,5401,0.503,4241,0.485,4876,0.745,,,,,,,,,,,,
Livramento (PB),4921,0.566,5206,0.523,4463,0.473,5105,0.732,,,,,,,,,,,,
Taperoá (BA),4921,0.566,4288,0.566,5123,0.426,4625,0.754,,,,,,,,,,,,
Barcelona (RN),4921,0.566,4351,0.564,4936,0.442,5207,0.726,,,,,,,,,,,,
Jatobá do Piauí (PI),4921,0.566,5172,0.525,4936,0.442,3751,0.78,,,,,,,,,,,,
Teofilândia (BA),4921,0.566,4180,0.571,5071,0.431,5032,0.737,,,,,,,,,,,,
Nova Colinas (MA),4921,0.566,5415,0.502,4306,0.481,4770,0.749,,,,,,,,,,,,
Calçado (PE),4921,0.566,5110,0.529,4560,0.468,5128,0.731,,,,,,,,,,,,
Mulungu do Morro (BA),4921,0.566,5271,0.517,4588,0.466,4661,0.753,,,,,,,,,,,,
Pimenteiras (PI),4921,0.566,4609,0.553,5164,0.423,3987,0.774,,,,,,,,,,,,
Concórdia do Pará (PA),4921,0.566,4451,0.56,4973,0.438,4958,0.741,,,,,,,,,,,,
Vista Serrana (PB),4921,0.566,4583,0.554,5145,0.424,4028,0.773,,,,,,,,,,,,
Cubati (PB),4921,0.566,4779,0.545,4862,0.448,4936,0.742,,,,,,,,,,,,
Santo Antônio dos Lopes (MA),4921,0.566,4740,0.547,4599,0.465,5359,0.714,,,,,,,,,,,,
Major Isidoro (AL),4921,0.566,4288,0.566,5145,0.424,4602,0.755,,,,,,,,,,,,
São José do Jacuri (MG),4921,0.566,3934,0.582,5215,0.417,4770,0.749,,,,,,,,,,,,
Lagoa do Mato (MA),4921,0.566,5172,0.525,4430,0.475,5207,0.726,,,,,,,,,,,,
Serra Preta (BA),4921,0.566,4876,0.541,4711,0.459,5105,0.732,,,,,,,,,,,,
Boa Vista do Ramos (AM),4941,0.565,5454,0.496,4259,0.484,4758,0.75,,,,,,,,,,,,
Sambaíba (MA),4941,0.565,4855,0.542,4742,0.456,5175,0.728,,,,,,,,,,,,
São José de Princesa (PB),4941,0.565,5037,0.533,4920,0.443,4304,0.765,,,,,,,,,,,,
Mato Grosso (PB),4941,0.565,4288,0.566,5197,0.419,4452,0.76,,,,,,,,,,,,
Governador Archer (MA),4941,0.565,4779,0.545,4306,0.481,5530,0.687,,,,,,,,,,,,
Filadélfia (BA),4941,0.565,4609,0.553,4839,0.45,5207,0.726,,,,,,,,,,,,
Olho D'Água das Flores (AL),4941,0.565,4243,0.568,5173,0.422,4697,0.752,,,,,,,,,,,,
Mulungu (PB),4941,0.565,4720,0.548,5164,0.423,3831,0.778,,,,,,,,,,,,
Buritirama (BA),4941,0.565,5393,0.504,4502,0.471,4430,0.761,,,,,,,,,,,,
Vila Nova do Piauí (PI),4941,0.565,4476,0.559,4502,0.471,5535,0.685,,,,,,,,,,,,
Cantanhede (MA),4941,0.565,5446,0.497,4560,0.468,3987,0.774,,,,,,,,,,,,
Buriti dos Lopes (PI),4941,0.565,4804,0.544,4808,0.452,5063,0.735,,,,,,,,,,,,
Camamu (BA),4941,0.565,4403,0.562,4808,0.452,5398,0.71,,,,,,,,,,,,
Bodocó (PE),4941,0.565,4828,0.543,4902,0.445,4876,0.745,,,,,,,,,,,,
São José do Divino (PI),4941,0.565,5110,0.529,4956,0.44,3948,0.775,,,,,,,,,,,,
Coivaras (PI),4941,0.565,4828,0.543,4793,0.453,5105,0.732,,,,,,,,,,,,
Inhambupe (BA),4941,0.565,4551,0.556,5096,0.429,4552,0.757,,,,,,,,,,,,
Prata do Piauí (PI),4941,0.565,5140,0.527,4862,0.448,4329,0.764,,,,,,,,,,,,
Canápolis (BA),4941,0.565,5075,0.531,4631,0.463,5105,0.732,,,,,,,,,,,,
Senhora do Porto (MG),4941,0.565,3695,0.595,5443,0.378,3026,0.802,,,,,,,,,,,,
Jardim de Angicos (RN),4941,0.565,4529,0.557,4988,0.437,4978,0.74,,,,,,,,,,,,
Palmópolis (MG),4941,0.565,4476,0.559,4988,0.437,5008,0.738,,,,,,,,,,,,
Feliz Deserto (AL),4941,0.565,4670,0.55,4646,0.462,5415,0.708,,,,,,,,,,,,
São José de Caiana (PB),4941,0.565,4779,0.545,5031,0.434,4400,0.762,,,,,,,,,,,,
Cacimba de Dentro (PB),4965,0.564,4649,0.551,5197,0.419,3871,0.777,,,,,,,,,,,,
Francinópolis (PI),4965,0.564,5206,0.523,4430,0.475,5268,0.722,,,,,,,,,,,,
Gararu (SE),4965,0.564,4804,0.544,5173,0.422,3690,0.783,,,,,,,,,,,,
Itapororoca (PB),4965,0.564,4828,0.543,4988,0.437,4552,0.757,,,,,,,,,,,,
Galinhos (RN),4965,0.564,4023,0.578,5096,0.429,5254,0.723,,,,,,,,,,,,
Rafael Jambeiro (BA),4965,0.564,4945,0.538,5011,0.435,4204,0.768,,,,,,,,,,,,
Igaci (AL),4965,0.564,4740,0.547,5145,0.424,3987,0.774,,,,,,,,,,,,
Peritoró (MA),4965,0.564,5434,0.499,4614,0.464,3987,0.774,,,,,,,,,,,,
Sítio Novo (MA),4965,0.564,5359,0.509,4742,0.456,3987,0.774,,,,,,,,,,,,
Água Azul do Norte (PA),4965,0.564,4376,0.563,5338,0.399,3252,0.797,,,,,,,,,,,,
Josenópolis (MG),4965,0.564,4876,0.541,5145,0.424,3704,0.782,,,,,,,,,,,,
Coelho Neto (MA),4965,0.564,4804,0.544,4774,0.454,5175,0.728,,,,,,,,,,,,
Araripe (CE),4965,0.564,5297,0.515,4711,0.459,4484,0.759,,,,,,,,,,,,
Teotônio Vilela (AL),4965,0.564,4698,0.549,4588,0.466,5476,0.7,,,,,,,,,,,,
Sítio do Mato (BA),4965,0.564,5547,0.455,3814,0.509,3987,0.774,,,,,,,,,,,,
Pio Ix (PI),4965,0.564,4945,0.538,4956,0.44,4509,0.758,,,,,,,,,,,,
Alenquer (PA),4965,0.564,5110,0.529,4999,0.436,3775,0.779,,,,,,,,,,,,
Baixa Grande do Ribeiro (PI),4965,0.564,4963,0.537,4887,0.446,4732,0.751,,,,,,,,,,,,
Pilõezinhos (PB),4965,0.564,5062,0.532,5180,0.421,3026,0.802,,,,,,,,,,,,
Ilha Grande (PI),4984,0.563,5021,0.534,4487,0.472,5415,0.708,,,,,,,,,,,,
Presidente Juscelino (RN),4984,0.563,4628,0.552,4793,0.453,5367,0.713,,,,,,,,,,,,
Codajás (AM),4984,0.563,4757,0.546,5180,0.421,3948,0.775,,,,,,,,,,,,
Salgadinho (PB),4984,0.563,5075,0.531,4774,0.454,4989,0.739,,,,,,,,,,,,
Lagoa (PB),4984,0.563,5037,0.533,4862,0.448,4826,0.747,,,,,,,,,,,,
Bom Conselho (PE),4984,0.563,3876,0.585,5053,0.433,5444,0.704,,,,,,,,,,,,
Almadina (BA),4984,0.563,4376,0.563,5180,0.421,4732,0.751,,,,,,,,,,,,
Piçarra (PA),4984,0.563,4425,0.561,5313,0.402,3428,0.792,,,,,,,,,,,,
Vertente do Lério (PE),4984,0.563,5062,0.532,4672,0.461,5207,0.726,,,,,,,,,,,,
Minador do Negrão (AL),4984,0.563,4876,0.541,5083,0.43,4245,0.767,,,,,,,,,,,,
Heliópolis (BA),4984,0.563,4740,0.547,4988,0.437,4794,0.748,,,,,,,,,,,,
Patos do Piauí (PI),4984,0.563,5110,0.529,4862,0.448,4602,0.755,,,,,,,,,,,,
Eirunepé (AM),4984,0.563,4720,0.548,5071,0.431,4579,0.756,,,,,,,,,,,,
Presidente Juscelino (MA),4984,0.563,5550,0.452,3348,0.532,4916,0.743,,,,,,,,,,,,
São Miguel da Baixa Grande (PI),4984,0.563,4529,0.557,5246,0.413,3987,0.774,,,,,,,,,,,,
Porto Alegre do Piauí (PI),4984,0.563,4927,0.539,4808,0.452,5105,0.732,,,,,,,,,,,,
Faro (PA),4984,0.563,5423,0.501,4532,0.47,4579,0.756,,,,,,,,,,,,
Madeiro (PI),4984,0.563,5528,0.472,4183,0.489,4064,0.772,,,,,,,,,,,,
Jundiá (AL),5002,0.562,4137,0.573,5031,0.434,5347,0.715,,,,,,,,,,,,
Cajazeiras do Piauí (PI),5002,0.562,5172,0.525,4852,0.449,4697,0.752,,,,,,,,,,,,
Nazarezinho (PB),5002,0.562,5127,0.528,4852,0.449,4826,0.747,,,,,,,,,,,,
Palmeirais (PI),5002,0.562,5297,0.515,4920,0.443,3897,0.776,,,,,,,,,,,,
Potengi (CE),5002,0.562,5110,0.529,4948,0.441,4484,0.759,,,,,,,,,,,,
Canudos (BA),5002,0.562,4583,0.554,4793,0.453,5423,0.707,,,,,,,,,,,,
Brejo (MA),5002,0.562,5271,0.517,4774,0.454,4509,0.758,,,,,,,,,,,,
Matias Olímpio (PI),5002,0.562,5226,0.521,4973,0.438,3775,0.779,,,,,,,,,,,,
Malhada (BA),5002,0.562,5062,0.532,4774,0.454,5081,0.734,,,,,,,,,,,,
Marcolândia (PI),5002,0.562,4023,0.578,4973,0.438,5476,0.7,,,,,,,,,,,,
Itatuba (PB),5002,0.562,4698,0.549,4999,0.436,4936,0.742,,,,,,,,,,,,
Itaguaçu da Bahia (BA),5002,0.562,4670,0.55,5011,0.435,4978,0.74,,,,,,,,,,,,
Barra de Santa Rosa (PB),5002,0.562,4855,0.542,5031,0.434,4661,0.753,,,,,,,,,,,,
Pedro Laurentino (PI),5002,0.562,5513,0.479,4047,0.496,4860,0.746,,,,,,,,,,,,
Trairão (PA),5002,0.562,3716,0.594,5375,0.392,4366,0.763,,,,,,,,,,,,
Areia de Baraúnas (PB),5002,0.562,4288,0.566,4646,0.462,5555,0.68,,,,,,,,,,,,
Bom Lugar (MA),5002,0.562,5487,0.486,4095,0.493,4958,0.741,,,,,,,,,,,,
Itatira (CE),5002,0.562,5310,0.514,4631,0.463,4826,0.747,,,,,,,,,,,,
Sebastião Leal (PI),5002,0.562,5284,0.516,4572,0.467,5049,0.736,,,,,,,,,,,,
Ilha das Flores (SE),5002,0.562,5310,0.514,4544,0.469,5063,0.735,,,,,,,,,,,,
Cajueiro (AL),5002,0.562,4855,0.542,4463,0.473,5516,0.691,,,,,,,,,,,,
Novo Oriente do Piauí (PI),5002,0.562,4740,0.547,5206,0.418,3948,0.775,,,,,,,,,,,,
Brejo da Madre de Deus (PE),5002,0.562,3955,0.581,5215,0.417,5081,0.734,,,,,,,,,,,,
Ponta de Pedras (PA),5002,0.562,4504,0.558,5256,0.412,4028,0.773,,,,,,,,,,,,
Orizânia (MG),5002,0.562,4649,0.551,5238,0.414,3831,0.778,,,,,,,,,,,,
Marcionílio Souza (BA),5027,0.561,5259,0.518,4631,0.463,5032,0.737,,,,,,,,,,,,
Dirceu Arcoverde (PI),5027,0.561,4376,0.563,4999,0.436,5321,0.718,,,,,,,,,,,,
Poço Verde (SE),5027,0.561,4376,0.563,5215,0.417,4732,0.751,,,,,,,,,,,,
Monsenhor Hipólito (PI),5027,0.561,3769,0.591,5301,0.404,4989,0.739,,,,,,,,,,,,
Passagem Franca do Piauí (PI),5027,0.561,3716,0.594,5371,0.393,4509,0.758,,,,,,,,,,,,
